Country,aver_count_salary
United Kingdom,80939.67038327527
Netherlands,70861.52441679627
Czech Republic,48558.90369799692
Austria,63182.151734104045
Italy,43569.639685658156
Germany,70768.93529103303
Poland,51389.1
Norway,84061.5596491228
France,56004.924121577926
Sweden,63669.71416735708
Spain,50070.55335711969
Romania,52472.366388308976
Belgium,61607.81244813278
Bulgaria,45433.1734375
Ireland,86701.30523255814
Switzerland,108229.61997487437
Latvia,46263.52849740932
Finland,63297.19922254616
Slovakia,45650.38461538462
Denmark,91586.35829787234
Greece,42190.12738853503
Portugal,46108.6730964467
Hungary,41946.918136020155
Ukraine,51005.508830022074
Russian Federation,45914.23574338086
Serbia,45382.00663716814
Lithuania,55066.86516853933
Belarus,44875.75
Estonia,54183.255192878336
Croatia,43513.96954314721
Slovenia,50531.76568265683
Cyprus,65951.04
Bosnia and Herzegovina,40387.59259259259
Luxembourg,77078.76190476191
Montenegro,38403.4
Albania,42784.85964912281
Republic of Moldova,37969.159420289856
Malta,53960.89411764706
Iceland,89644.1975308642
Monaco,25428.0
