Country,Cost of Livning Index
Switzerland,123.35
Norway,100.9
Iceland,94.86
Denmark,84.12
Guernsey,83.59
Luxembourg,80.5
Ireland,76.05
Netherlands,75.66
France,74.13
Finland,73.2
Belgium,72.61
Sweden,71.74
Austria,71.04
United Kingdom,69.65
Malta,67.84
Italy,66.47
Germany,65.58
Greece,56.22
Slovenia,53.88
Spain,53.88
Estonia,53.68
Croatia,48.94
Latvia,48.45
Czech Republic,48.24
Portugal,47.94
Lithuania,45.65
Slovakia,44.68
Hungary,40.66
Poland,38.95
Montenegro,38.95
Bulgaria,38.38
Serbia,36.21
Bosnia And Herzegovina,36.12
Albania,35.5
Russia,35.26
Romania,35.24
North Macedonia,31.38
Belarus,30.89
Ukraine,30.71
Moldova,30.35
